"","var","rel.inf","run"
"specieslarge3","specieslarge",0.11785067065579,36
"speciesgreen3","speciesgreen",0.102325849469251,36
"speciesdwarf3","speciesdwarf",0,36
"speciesnarrow3","speciesnarrow",0,36
"logShelfAreaShallow4","logShelfAreaShallow",24.3397420205695,45
"logMang4","logMang",15.7407408771641,45
"logtotalGearTonnes4","logtotalGearTonnes",15.7402103014126,45
"logProteinDiet4","logProteinDiet",10.2360686668864,45
"WGI4","WGI",7.25603854475912,45
"logCoastPop4","logCoastPop",4.98560617503013,45
"logGDP4","logGDP",4.2754468077312,45
"logChondCatch4","logChondCatch",4.01100018700793,45
"HDI4","HDI",3.52045860111478,45
"logEstDis4","logEstDis",3.37646865516219,45
"logFishEffort4","logFishEffort",2.21522640328933,45
"logPprodMean4","logPprodMean",1.73169736843782,45
"SstMean4","SstMean",1.58852622234887,45
"speciessmall4","speciessmall",0.538834314158434,45
"specieslarge4","specieslarge",0.239806315775275,45
"speciesgreen4","speciesgreen",0.204128539152277,45
"speciesdwarf4","speciesdwarf",0,45
"speciesnarrow4","speciesnarrow",0,45
"logShelfAreaShallow5","logShelfAreaShallow",26.9371466079334,55
"logMang5","logMang",15.9452036627263,55
"logtotalGearTonnes5","logtotalGearTonnes",15.8495728680694,55
"logProteinDiet5","logProteinDiet",9.25027483494328,55
"WGI5","WGI",7.37889012596007,55
"logCoastPop5","logCoastPop",4.8240778741482,55
"logChondCatch5","logChondCatch",4.21630599924444,55
"HDI5","HDI",3.53170670373382,55
"logEstDis5","logEstDis",3.45724673400676,55
"logGDP5","logGDP",3.21790106471622,55
"logFishEffort5","logFishEffort",2.31800279960084,55
"logPprodMean5","logPprodMean",1.52965464771548,55
"SstMean5","SstMean",1.08408482284726,55
"speciessmall5","speciessmall",0.270276038611303,55
"specieslarge5","specieslarge",0.100627276337924,55
"speciesgreen5","speciesgreen",0.0890279394052802,55
"speciesdwarf5","speciesdwarf",0,55
"speciesnarrow5","speciesnarrow",0,55
"logShelfAreaShallow6","logShelfAreaShallow",25.1783528183441,62
"logMang6","logMang",14.5033972143265,62
"logtotalGearTonnes6","logtotalGearTonnes",13.6234945886526,62
"logProteinDiet6","logProteinDiet",9.88150570024633,62
"WGI6","WGI",7.58617822177961,62
"logGDP6","logGDP",5.79334583291312,62
"logCoastPop6","logCoastPop",5.20160537126848,62
"logChondCatch6","logChondCatch",4.47082729233816,62
"HDI6","HDI",4.06185803952927,62
"logEstDis6","logEstDis",3.10689254273632,62
"logPprodMean6","logPprodMean",1.9500797885012,62
"logFishEffort6","logFishEffort",1.84307193329031,62
"SstMean6","SstMean",1.40360858529143,62
"speciesgreen6","speciesgreen",0.6903295444,62
"speciessmall6","speciessmall",0.439933196039509,62
"specieslarge6","specieslarge",0.265519330342967,62
"speciesdwarf6","speciesdwarf",0,62
"speciesnarrow6","speciesnarrow",0,62
"logShelfAreaShallow7","logShelfAreaShallow",25.5970338506632,72
"logtotalGearTonnes7","logtotalGearTonnes",14.3997227280494,72
"logMang7","logMang",13.8221741818839,72
"logProteinDiet7","logProteinDiet",8.82001481306794,72
"WGI7","WGI",6.88770797386046,72
"logGDP7","logGDP",6.41683717059531,72
"logCoastPop7","logCoastPop",5.09816265275175,72
"logChondCatch7","logChondCatch",4.97612923970315,72
"HDI7","HDI",3.89561215742307,72
"logEstDis7","logEstDis",3.33127157946032,72
"logFishEffort7","logFishEffort",2.16114277544114,72
"logPprodMean7","logPprodMean",2.00448021030638,72
"SstMean7","SstMean",1.63689482492457,72
"speciesgreen7","speciesgreen",0.348494037651119,72
"speciessmall7","speciessmall",0.321443443620486,72
"specieslarge7","specieslarge",0.282878360597777,72
"speciesdwarf7","speciesdwarf",0,72
"speciesnarrow7","speciesnarrow",0,72
"logShelfAreaShallow8","logShelfAreaShallow",25.7042933669902,83
"logMang8","logMang",15.6408854766973,83
"logtotalGearTonnes8","logtotalGearTonnes",14.4372685004608,83
"logProteinDiet8","logProteinDiet",9.30432062761369,83
"WGI8","WGI",7.10207305355457,83
"logGDP8","logGDP",4.78055050259056,83
"logChondCatch8","logChondCatch",4.6075124348318,83
"logCoastPop8","logCoastPop",4.5797695816458,83
"HDI8","HDI",3.88548245572244,83
"logEstDis8","logEstDis",3.45955393103911,83
"logFishEffort8","logFishEffort",2.2863528610754,83
"logPprodMean8","logPprodMean",1.82306222682829,83
"SstMean8","SstMean",1.19937006535983,83
"speciessmall8","speciessmall",0.58144402834998,83
"speciesgreen8","speciesgreen",0.431653535435844,83
"specieslarge8","specieslarge",0.17640735180443,83
"speciesdwarf8","speciesdwarf",0,83
"speciesnarrow8","speciesnarrow",0,83
"logShelfAreaShallow9","logShelfAreaShallow",24.7939613869189,93
"logMang9","logMang",14.7247206163404,93
"logtotalGearTonnes9","logtotalGearTonnes",14.4730986986204,93
"logProteinDiet9","logProteinDiet",9.81784665615686,93
"WGI9","WGI",7.69027733561379,93
"logChondCatch9","logChondCatch",5.38895823282914,93
"logGDP9","logGDP",5.07983289999806,93
"logCoastPop9","logCoastPop",4.84778103003245,93
"HDI9","HDI",3.37685955461924,93
"logEstDis9","logEstDis",2.92362610638978,93
"logFishEffort9","logFishEffort",2.29742032165463,93
"logPprodMean9","logPprodMean",1.82259008846568,93
"SstMean9","SstMean",1.67777096984525,93
"speciessmall9","speciessmall",0.524793619676399,93
"speciesgreen9","speciesgreen",0.47380821111583,93
"specieslarge9","specieslarge",0.0866542717231669,93
"speciesdwarf9","speciesdwarf",0,93
"speciesnarrow9","speciesnarrow",0,93
"logShelfAreaShallow10","logShelfAreaShallow",24.7177857990479,103
"logtotalGearTonnes10","logtotalGearTonnes",14.2964197536509,103
"logMang10","logMang",13.8153897176975,103
"logProteinDiet10","logProteinDiet",9.64721122436421,103
"WGI10","WGI",7.02773556581762,103
"logChondCatch10","logChondCatch",5.66175148135668,103
"logGDP10","logGDP",5.49203535347879,103
"logCoastPop10","logCoastPop",5.18434995043001,103
"logEstDis10","logEstDis",3.70253415308379,103
"HDI10","HDI",3.57112867720381,103
"logPprodMean10","logPprodMean",2.0732229739882,103
"logFishEffort10","logFishEffort",1.89175261223413,103
"SstMean10","SstMean",1.85831072809784,103
"speciesgreen10","speciesgreen",0.4390593261184,103
"speciessmall10","speciessmall",0.420869948829557,103
"specieslarge10","specieslarge",0.2004427346007,103
"speciesdwarf10","speciesdwarf",0,103
"speciesnarrow10","speciesnarrow",0,103
"logShelfAreaShallow11","logShelfAreaShallow",23.9439574796476,113
"logMang11","logMang",14.8423631590035,113
"logtotalGearTonnes11","logtotalGearTonnes",13.6149636850886,113
"logProteinDiet11","logProteinDiet",10.1517490428697,113
"WGI11","WGI",7.43481407600838,113
"logGDP11","logGDP",5.96585141179244,113
"logChondCatch11","logChondCatch",4.94536339374017,113
"logCoastPop11","logCoastPop",4.45376476572303,113
"HDI11","HDI",3.79362043498226,113
"logEstDis11","logEstDis",3.50358254054891,113
"logFishEffort11","logFishEffort",2.35126954472498,113
"logPprodMean11","logPprodMean",2.03396945693004,113
"SstMean11","SstMean",1.69687932328951,113
"speciessmall11","speciessmall",0.515538914425675,113
"speciesgreen11","speciesgreen",0.424880429723368,113
"specieslarge11","specieslarge",0.32743234150187,113
"speciesdwarf11","speciesdwarf",0,113
"speciesnarrow11","speciesnarrow",0,113
